timestamp,SMP,MAIN
1.060595,0,1
1.0606,0,1
1.060605,0,1
1.06061,0,1
1.060615,0,1
1.06062,0,1
1.060625,0,1
1.06063,0,1
1.060635,0,1
1.06064,0,1
1.060645,0,1
1.06065,0,1
1.060655,0,1
1.06066,0,1
1.060665,0,1
1.06067,0,1
1.060675,0,1
1.06068,0,1
1.060685,0,1
1.06069,0,1
1.060695,0,1
1.0607,0,1
1.060705,0,1
1.06071,0,1
1.060715,0,1
1.06072,0,1
1.060725,0,1
1.06073,0,1
1.060735,0,1
1.06074,0,1
1.060745,0,1
1.06075,0,1
1.060755,0,1
1.06076,0,1
1.060765,0,1
1.06077,0,1
1.060775,0,1
1.06078,0,1
1.060785,0,1
1.06079,0,1
1.060795,0,1
1.0608,0,1
1.060805,0,1
1.06081,0,1
1.060815,0,1
1.06082,0,1
1.060825,0,1
1.06083,0,1
1.060835,0,1
1.06084,0,1
1.060845,0,1
1.06085,0,1
1.060855,0,1
1.06086,0,1
1.060865,0,1
1.06087,0,1
1.060875,0,1
1.06088,0,1
1.060885,0,1
1.06089,0,1
1.060895,0,1
1.0609,0,1
1.060905,0,1
1.06091,0,1
1.060915,0,1
1.06092,0,1
1.060925,0,1
1.06093,0,1
1.060935,0,1
1.06094,0,1
1.060945,0,1
1.06095,0,1
1.060955,0,1
1.06096,0,1
1.060965,0,1
1.06097,0,1
1.060975,0,1
1.06098,0,1
1.060985,0,1
1.06099,0,1
1.060995,0,1
1.061,0,1
1.061005,0,1
1.06101,0,1
1.061015,0,1
1.06102,0,1
1.061025,0,1
1.06103,0,1
1.061035,0,1
1.06104,0,1
1.061045,0,1
1.06105,0,1
1.061055,0,1
1.06106,0,1
1.061065,0,1
1.06107,0,1
1.061075,0,1
1.06108,0,1
1.061085,0,1
1.06109,0,1
1.061095,0,1
1.0611,0,1
1.061105,0,1
1.06111,0,1
1.061115,0,1
1.06112,0,1
1.061125,0,1
1.06113,0,1
1.061135,0,1
1.06114,0,1
1.061145,0,1
1.06115,0,1
1.061155,0,1
1.06116,0,1
1.061165,0,1
1.06117,0,1
1.061175,0,1
1.06118,0,1
1.061185,0,1
1.06119,0,1
1.061195,0,1
1.0612,0,1
1.061205,0,1
1.06121,0,1
1.061215,0,1
1.06122,0,1
1.061225,0,1
1.06123,0,1
1.061235,0,1
1.06124,0,1
1.061245,0,1
1.06125,0,1
1.061255,0,1
1.06126,0,1
1.061265,0,1
1.06127,0,1
1.061275,0,1
1.06128,0,1
1.061285,0,1
1.06129,0,1
1.061295,0,1
1.0613,0,1
1.061305,0,1
1.06131,0,1
1.061315,0,1
1.06132,0,1
1.061325,0,1
1.06133,0,1
1.061335,0,1
1.06134,0,1
1.061345,0,1
1.06135,0,1
1.061355,0,1
1.06136,0,1
1.061365,0,1
1.06137,0,1
1.061375,0,1
1.06138,0,1
1.061385,0,1
1.06139,0,1
1.061395,0,1
1.0614,0,1
1.061405,0,1
1.06141,0,1
1.061415,0,1
1.06142,0,1
1.061425,0,1
1.06143,0,1
1.061435,0,1
1.06144,0,1
1.061445,0,1
1.06145,0,1
1.061455,0,1
1.06146,0,1
1.061465,0,1
1.06147,0,1
1.061475,0,1
1.06148,0,1
1.061485,0,1
1.06149,0,1
1.061495,0,1
1.0615,0,1
1.061505,0,1
1.06151,0,1
1.061515,0,1
1.06152,0,1
1.061525,0,1
1.06153,0,1
1.061535,0,1
1.06154,0,1
1.061545,0,1
1.06155,0,1
1.061555,0,1
1.06156,0,1
1.061565,0,1
1.06157,0,1
1.061575,0,1
1.06158,0,1
1.061585,0,1
1.06159,0,1
1.061595,0,1
1.0616,0,1
1.061605,0,1
1.06161,0,1
1.061615,0,1
1.06162,0,1
1.061625,0,1
1.06163,0,1
1.061635,0,1
1.06164,0,1
1.061645,0,1
1.06165,0,1
1.061655,0,1
1.06166,0,1
1.061665,0,1
1.06167,0,1
1.061675,0,1
1.06168,0,1
1.061685,0,1
1.06169,0,1
1.061695,0,1
1.0617,0,1
1.061705,0,1
1.06171,0,1
1.061715,0,1
1.06172,0,1
1.061725,0,1
1.06173,0,1
1.061735,0,1
1.06174,0,1
1.061745,0,1
1.06175,0,1
1.061755,0,1
1.06176,0,1
1.061765,0,1
1.06177,0,1
1.061775,0,1
1.06178,0,1
1.061785,0,1
1.06179,0,1
1.061795,0,1
1.0618,0,1
1.061805,0,1
1.06181,0,1
1.061815,0,1
1.06182,0,1
1.061825,0,1
1.06183,0,1
1.061835,0,1
1.06184,0,1
1.061845,0,1
1.06185,0,1
1.061855,0,1
1.06186,0,1
1.061865,0,1
1.06187,0,1
1.061875,0,1
1.06188,0,1
1.061885,0,1
1.06189,0,1
1.061895,0,1
1.0619,0,1
1.061905,0,1
1.06191,0,1
1.061915,0,1
1.06192,0,1
1.061925,0,1
1.06193,0,1
1.061935,0,1
1.06194,0,1
1.061945,0,1
1.06195,0,1
1.061955,0,1
1.06196,0,1
1.061965,0,1
1.06197,0,1
1.061975,0,1
1.06198,0,1
1.061985,0,1
1.06199,0,1
1.061995,0,1
1.062,0,1
1.062005,0,1
1.06201,0,1
1.062015,0,1
1.06202,0,1
1.062025,0,1
1.06203,0,1
1.062035,0,1
1.06204,0,1
1.062045,0,1
1.06205,0,1
1.062055,0,1
